avalanche.id;date;date.quality;hydrological.year;canton;local.name;start.zone.coordinates.x;start.zone.coordinates.y;coordinates.quality;start.zone.elevation;start.zone.slope.aspect;start.zone.inclination;forecasted.dangerlevel;number.dead;number.caught;number.fully.buried;activity
21246;05.06.2004;0;2003/04;TI;Lago di Lucendro / Gotthardpass;8.54416229655008;46.565702263297474;25;2160;SSE;39;NA;1;2;0;tour
21306;22.12.2004;0;2004/05;SZ;Forstberg;8.825357989033138;47.001801342726765;25;2120;N;38;3;1;2;1;tour
21307;26.12.2004;0;2004/05;GR;Piz Davos Lais / Fimbertal;10.258784870483787;46.88341589911941;25;2610;NNE;43;3;1;1;1;tour
21308;27.12.2004;0;2004/05;VS;Col de Chassoure / Skigebiet Verbier;7.278923018086672;46.10561583274052;25;2700;N;NA;3;1;1;1;offpiste
21314;30.12.2004;0;2004/05;BE;;7.509178156390323;46.502279786105575;25;2260;NNW;38;3;1;1;1;tour
21315;30.12.2004;0;2004/05;VS;;7.461862995698041;45.98046544031245;25;3220;SSE;40;3;1;2;1;tour
21346;23.01.2005;0;2004/05;VS;Ritzi / Maste 4 / Skigebiet Saas Fee;7.918618565190279;46.0895049869226;25;2325;NW;38;3;1;1;1;offpiste
21347;23.01.2005;0;2004/05;VS;;7.4704530331291785;46.33218957771017;25;2120;NW;46;3;2;2;2;offpiste
21377;05.02.2005;0;2004/05;GR;Gatschieferspitz;9.9304062162039;46.833800770907104;25;2485;N;38;3;1;1;1;tour
21379;05.02.2005;0;2004/05;GR;Leidbachfurgga;9.821498372175911;46.71390923955327;25;2805;NW;45;3;1;2;2;tour
21383;06.02.2005;0;2004/05;GR;;9.909485511071317;46.59233580103713;25;2470;ENE;33;3;2;2;2;tour
21386;08.02.2005;0;2004/05;GR;Selva Alp / Inder Rossbodma;9.188293375730131;46.59122138039577;25;1940;NNE;30;2;1;1;1;tour
21406;20.02.2005;0;2004/05;GR;Churer Joch / Tschiertschen;9.56611251662066;46.80705645654504;25;1930;WNW;43;3;1;2;1;offpiste
21413;25.02.2005;0;2004/05;VS;Rochers de la Croix / Vallon de Novel;6.794696482100836;46.359595008678326;100;1460;WNW;NA;3;2;3;2;tour
21427;10.03.2005;0;2004/05;GR;Crap Sais / Val da Siat;9.14849371281263;46.84124225905277;25;2010;SE;NA;3;1;1;1;offpiste
21428;10.03.2005;0;2004/05;VS;;7.8827501583686965;46.07467474283179;25;3290;ENE;37;3;1;1;1;tour
21434;12.03.2005;0;2004/05;BE;Gemschberg;8.08462330084155;46.67318744514109;25;2380;SSE;43;2;1;2;1;tour
21440;13.03.2005;0;2004/05;SG;Neuenalp / Alp Unterstofel;9.256073639911252;47.200111866968335;25;1350;NW;36;3;1;1;1;tour
21453;14.03.2005;0;2004/05;GL;Meerenboden / Tugsteinhorn;9.166283351397308;47.076795011684055;25;1780;NW;35;3;3;3;3;tour
21483;21.04.2005;0;2004/05;VS;Bec de la Montau;7.3474250979265925;46.12921531527873;25;2900;N;NA;2;2;4;3;tour
21485;22.04.2005;0;2004/05;VS;Mont Rogneux;7.230533047434977;46.009733941896606;25;3050;NNE;NA;3;1;3;1;tour
21615;30.12.2005;0;2005/06;GR;;9.9475574714244;46.62219361087621;25;2680;SE;37;2;1;1;1;tour
21626;03.01.2006;0;2005/06;VS;Bec des Etagnes;7.324215878894977;46.09177220017854;25;2850;N;NA;3;1;1;1;offpiste
21638;08.01.2006;0;2005/06;VD;Le Pacheu;7.149763864732358;46.244926482588205;25;2710;WSW;NA;2;1;2;1;tour
21647;20.01.2006;0;2005/06;OW/LU;Brienzer Rothorn / Tagweid;8.058560416589254;46.793425752357706;25;2020;NNE;44;3;1;2;1;offpiste
21653;21.01.2006;0;2005/06;SG;;9.233120718131445;47.07125342357035;25;2000;NNW;38;3;1;4;1;offpiste
21654;21.01.2006;0;2005/06;BE;Ochsen - Stierenberg (Gantrisch);7.407645528911533;46.70258226427528;25;1835;NNW;47;3;1;1;1;tour
21669;30.01.2006;0;2005/06;GR;Skigebiet Savognin;9.535567281842715;46.561145259724235;25;2170;NNE;NA;2;1;1;1;offpiste
21704;19.02.2006;0;2005/06;VS;Mittelritz / Skigebiet Gornergrat;7.789698550068417;45.99611063331728;100;2820;NW;31;3;1;1;1;offpiste
21705;19.02.2006;0;2005/06;GR;Caral / Selva;10.021194929585086;46.29193597313531;25;2140;NE;39;3;1;1;1;tour
21716;20.02.2006;0;2005/06;GR;Val Acletta;8.808154606941315;46.711674310658395;25;2110;N;NA;3;3;4;3;offpiste
21724;21.02.2006;0;2005/06;VS;Skigebiet La Fouly;7.115004078008498;45.93097683530139;25;2060;N;NA;3;1;1;1;offpiste
21726;22.02.2006;0;2005/06;VS;Pointe de Bellevue - Combe de Dreveneuse;6.889404534526933;46.25830839369986;25;2000;NNW;41;2;1;1;1;tour
21730;23.02.2006;0;2005/06;GR;Vanatsch / Sedrun;8.789897834473503;46.64856357874331;25;2400;W;37;3;1;1;1;tour
21734;25.02.2006;0;2005/06;VS;;7.785776293028377;45.98820679400522;25;2960;NNE;39;3;1;1;1;offpiste
21744;04.03.2006;0;2005/06;VD;La Palette (Skigebiet Isenau);7.198233582842137;46.366842584265335;25;2100;WNW;40;4;1;2;1;tour
21749;06.03.2006;0;2005/06;BE;Schilthorn;7.842367929597714;46.556547881135415;25;2720;ESE;41;3;1;1;0;offpiste
21755;07.03.2006;0;2005/06;VS;;7.802328901269123;45.99337194123532;25;3000;N;37;3;1;2;1;offpiste
21778;10.03.2006;0;2005/06;BE;;7.5177637342539505;46.44910950083796;25;1980;WNW;43;3;1;1;1;offpiste
21784;13.03.2006;0;2005/06;GR;Leidbach (Skigebiet Rinerhorn);9.805224009185157;46.730672462110675;25;2330;WSW;37;3;1;2;1;offpiste
21785;14.03.2006;0;2005/06;BE;;8.227228878681158;46.75514263430588;25;1950;N;41;3;1;3;3;offpiste
21794;17.03.2006;0;2005/06;GR;Grialetsch;9.959769342392207;46.706165644671714;25;2635;NNE;38;3;1;4;1;tour
21799;19.03.2006;0;2005/06;VS;Gorge de la Menouve (Skigebiet Super Saint-Bernard);7.198875512784996;45.89853314156934;25;2010;NNW;NA;2;1;2;1;offpiste
21907;01.01.2007;0;2006/07;BE;Lauenensee / Feissenberg / Follhore;7.345959803203297;46.381272258119886;100;2000;W;39;3;1;2;1;tour
21923;06.01.2007;0;2006/07;GR;Piz Punt Ota;10.003118733716278;46.658891804028954;25;2090;ENE;23;3;1;1;1;tour
